                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8353,                 3.5084,                 2.4858,                0.00738,                0.93939,                0.22999,                0.05276,                 2.0092,                 3.1378,                 1.8726,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.4682,                 3.3598,                 2.1434,                0.00738,                0.93939,                0.30673,                0.07644,                 1.9685,                 3.0701,                 1.8919,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 2.0166,                 4.2403,                 2.1298,                0.00786,                      1,                0.30218,                0.09867,                 1.7859,                  3.021,                 1.7611,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 2.1203,                 3.0657,                 1.9911,                0.00762,                 0.9697,                0.27575,                0.08758,                 1.8333,                 2.9799,                 1.7824,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 1.7522,                 2.9543,                 1.7583,                0.00762,                 0.9697,                0.29237,                0.09281,                 1.6437,                 3.0527,                 1.6986,             0.00010872,             0.00010872,             0.00010872
                      6,                 1.5587,                 2.6979,                 1.6291,                0.00786,                      1,                0.36093,                0.10987,                 1.6377,                 3.0031,                 1.7148,              0.0001111,              0.0001111,              0.0001111
                      7,                  1.489,                 2.3281,                 1.5944,                0.00762,                 0.9697,                 0.3682,                0.11275,                 1.6324,                 2.9486,                 1.7123,             0.00010556,             0.00010556,             0.00010556
                      8,                 1.4824,                  3.109,                  1.709,                0.00762,                 0.9697,                0.41876,                0.13969,                 1.5944,                 2.8607,                 1.6981,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 1.4589,                 2.4381,                 1.6884,                0.00786,                      1,                0.46709,                0.16144,                 1.5699,                 2.8344,                 1.6711,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 1.5209,                 2.1926,                 1.6258,                0.00786,                      1,                0.47702,                0.17607,                 1.5324,                 2.8176,                 1.6458,              4.142e-05,              4.142e-05,              4.142e-05
